valid,late,weartime,sleep_quality,relaxation,relaxation_type,main_activity,phy_intense,fatigue,pain,ment_intense,satisfaction,mood,stress
True,False,True,3,2.0,"[2, 3, 4]",[7],4.0,3.0,3.0,2.0,2.0,3.0,2.0
True,False,True,3,2.0,"[2, 3, 4]","[5, 6]",2.0,4.0,3.0,2.0,3.0,3.0,4.0
True,False,True,3,2.0,"[2, 3, 4]","[3, 6]",3.0,5.0,4.0,2.0,3.0,2.0,3.0
True,False,True,3,2.0,"[1, 2, 4]","[1, 5, 6]",4.0,3.0,3.0,3.0,4.0,3.0,3.0
True,False,True,3,2.0,"[1, 2, 4]",[7],2.0,4.0,2.0,4.0,2.0,2.0,3.0
True,False,True,3,2.0,"[1, 2, 4]","[3, 5]",3.0,5.0,4.0,3.0,2.0,2.0,4.0
True,False,True,3,2.0,"[1, 4]","[4, 7]",2.0,2.0,4.0,4.0,3.0,3.0,3.0
True,False,True,3,2.0,"[1, 4]",[1],4.0,5.0,4.0,2.0,3.0,3.0,4.0
True,False,True,3,2.0,"[1, 4]","[3, 6, 7]",3.0,3.0,4.0,3.0,3.0,3.0,3.0
True,False,True,3,4.0,"[1, 2, 3, 4]","[3, 6, 7]",2.0,3.0,3.0,3.0,3.0,3.0,3.0
True,False,True,3,4.0,"[1, 2, 3, 4]",[6],2.0,4.0,3.0,4.0,3.0,3.0,3.0
True,False,True,3,4.0,"[1, 2, 3, 4]",[6],2.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,4,4.0,"[3, 4, 5]","[3, 6]",3.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,4,4.0,"[3, 4, 5]","[5, 6]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
True,False,True,4,4.0,"[3, 4, 5]",[6],2.0,3.0,3.0,4.0,4.0,4.0,3.0
True,False,True,3,2.0,"[1, 4]","[4, 5]",4.0,3.0,3.0,3.0,3.0,3.0,3.0
True,False,True,3,2.0,"[1, 4]","[5, 6]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
True,False,True,3,2.0,"[1, 4]","[3, 5, 7]",4.0,4.0,4.0,4.0,3.0,2.0,4.0
True,False,False,2,3.0,"[1, 3, 4]",[7],2.0,4.0,3.0,4.0,4.0,4.0,4.0
True,False,True,2,3.0,"[1, 3, 4]",[6],2.0,3.0,3.0,3.0,3.0,3.0,3.0
True,False,True,2,3.0,"[1, 3, 4]","[1, 3, 5, 6]",4.0,4.0,3.0,4.0,3.0,2.0,4.0
True,False,True,2,4.0,"[2, 3, 4]",[5],2.0,4.0,3.0,4.0,3.0,4.0,3.0
True,False,True,2,4.0,"[2, 3, 4]","[5, 6]",2.0,4.0,3.0,3.0,3.0,3.0,4.0
True,False,True,2,4.0,"[2, 3, 4]",[6],2.0,4.0,3.0,3.0,3.0,2.0,3.0
True,False,True,2,4.0,"[1, 4]","[2, 6, 7]",4.0,4.0,4.0,4.0,4.0,2.0,4.0
True,False,True,2,4.0,"[1, 4]",[6],2.0,4.0,4.0,2.0,2.0,2.0,2.0
True,False,True,2,4.0,"[1, 4]","[3, 5, 6]",2.0,4.0,3.0,3.0,3.0,2.0,3.0
True,False,True,3,2.0,"[2, 4]","[4, 7]",4.0,3.0,3.0,3.0,4.0,4.0,4.0
True,False,True,3,2.0,"[2, 4]","[6, 7]",3.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,3,2.0,"[2, 4]","[3, 6]",3.0,4.0,4.0,2.0,3.0,2.0,4.0
True,False,True,3,2.0,[4],[5],4.0,3.0,3.0,2.0,3.0,3.0,3.0
True,False,True,3,2.0,[4],"[5, 6, 7]",3.0,4.0,3.0,4.0,3.0,3.0,3.0
True,False,True,3,2.0,[4],[5],3.0,4.0,3.0,3.0,3.0,3.0,2.0
True,False,True,2,2.0,[4],"[5, 6]",2.0,3.0,3.0,3.0,3.0,3.0,2.0
True,False,True,2,2.0,[4],"[2, 5, 6]",3.0,3.0,3.0,4.0,4.0,3.0,2.0
True,False,True,2,2.0,[4],"[5, 6]",2.0,4.0,3.0,3.0,3.0,2.0,3.0
True,False,True,4,2.0,"[1, 2, 4]","[2, 4]",4.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,4,2.0,"[1, 2, 4]","[4, 5, 6, 7]",4.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,4,2.0,"[1, 2, 4]","[3, 5, 6]",3.0,4.0,3.0,3.0,3.0,2.0,4.0
True,False,True,2,2.0,"[1, 4]","[6, 7]",2.0,2.0,3.0,4.0,3.0,3.0,4.0
True,False,True,2,2.0,"[1, 4]","[6, 7]",2.0,4.0,4.0,4.0,3.0,4.0,5.0
True,False,True,2,2.0,"[1, 4]","[3, 5, 7]",3.0,4.0,4.0,4.0,3.0,2.0,4.0
True,False,True,2,4.0,"[1, 2, 4]","[5, 7, 7, 7]",2.0,2.0,3.0,4.0,3.0,3.0,3.0
True,False,True,2,4.0,"[1, 2, 4]","[2, 3, 6]",3.0,5.0,4.0,2.0,3.0,2.0,2.0
True,False,True,2,4.0,"[1, 2, 4]","[5, 6]",2.0,4.0,3.0,3.0,3.0,3.0,3.0
True,False,True,3,3.0,"[1, 2, 4]","[4, 5, 7]",4.0,3.0,2.0,3.0,3.0,3.0,3.0
True,False,True,3,3.0,"[1, 2, 4]","[5, 6]",2.0,4.0,4.0,4.0,3.0,2.0,4.0
True,False,True,3,3.0,"[1, 2, 4]","[3, 5, 6]",3.0,3.0,2.0,3.0,3.0,2.0,3.0
True,False,True,3,2.0,"[1, 4]","[4, 7]",5.0,5.0,4.0,2.0,3.0,3.0,3.0
True,False,True,3,2.0,"[1, 4]",[6],2.0,4.0,4.0,2.0,3.0,3.0,3.0
True,False,True,3,2.0,"[1, 4]","[3, 5, 6]",3.0,4.0,4.0,2.0,3.0,2.0,3.0
True,False,True,2,2.0,"[3, 4]",[4],3.0,4.0,3.0,3.0,3.0,2.0,4.0
True,False,True,2,2.0,"[3, 4]",[7],2.0,4.0,3.0,4.0,3.0,2.0,4.0
True,False,True,2,2.0,"[3, 4]","[5, 6]",2.0,3.0,4.0,3.0,3.0,2.0,3.0
True,False,True,2,3.0,"[1, 3, 4, 5]","[5, 6]",3.0,4.0,3.0,3.0,3.0,2.0,3.0
True,False,True,2,3.0,"[1, 3, 4, 5]","[6, 7]",2.0,2.0,2.0,2.0,3.0,4.0,2.0
