Time,counts
2021-03-16 20:00:00,47.26781390522458
2021-03-16 20:01:00,62.36523907952346
2021-03-16 20:02:00,28.54959162766657
2021-03-16 20:03:00,61.734361493184835
2021-03-16 20:04:00,65.1367245080213
2021-03-16 20:05:00,75.29411738426126
2021-03-16 20:06:00,67.92833911919945
2021-03-16 20:07:00,103.20772271558
2021-03-16 20:08:00,85.73576226038163
2021-03-16 20:09:00,65.87050472718174
2021-03-16 20:10:00,28.97376587854931
2021-03-16 20:11:00,17.078640013585254
2021-03-16 20:12:00,17.45505492334579
2021-03-16 20:13:00,26.940847539095675
2021-03-16 20:14:00,78.38573714256269
2021-03-16 20:15:00,54.919582070717915
2021-03-16 20:16:00,32.94603493244714
2021-03-16 20:17:00,3.678529794009644
2021-03-16 20:18:00,81.77994815905627
2021-03-16 20:19:00,51.874697286077534
2021-03-16 20:20:00,13.755728665575425
2021-03-16 20:21:00,39.43215568426931
2021-03-16 20:22:00,14.887324562590832
2021-03-16 20:23:00,3.5450043588133693
2021-03-16 20:24:00,3.884776960106884
2021-03-16 20:25:00,6.079457729928916
2021-03-16 20:26:00,19.474398364272783
2021-03-16 20:27:00,19.33775319497061
2021-03-16 20:28:00,15.02049434491568
2021-03-16 20:29:00,22.926876944103153
2021-03-16 20:30:00,14.982463943045502
2021-03-16 20:31:00,72.37759512243723
2021-03-16 20:32:00,127.38504213843285
2021-03-16 20:33:00,130.37946637060816
2021-03-16 20:34:00,132.89799079674748
2021-03-16 20:35:00,174.7572579766232
2021-03-16 20:36:00,47.77630694248185
2021-03-16 20:37:00,8.497986029393662
2021-03-16 20:38:00,22.438602950954493
2021-03-16 20:39:00,68.64233590479145
2021-03-16 20:40:00,121.04521640363924
2021-03-16 20:41:00,92.44247440580996
2021-03-16 20:42:00,144.90592726087235
2021-03-16 20:43:00,58.327518109052974
2021-03-16 20:44:00,6.387794017444548
2021-03-16 20:45:00,2.9338545655314285
2021-03-16 20:46:00,3.1197118258748677
2021-03-16 20:47:00,6.683560999523563
2021-03-16 20:48:00,3.8004929031572994
2021-03-16 20:49:00,10.429304497934325
2021-03-16 20:50:00,102.96306179581066
2021-03-16 20:51:00,153.19270967825798
2021-03-16 20:52:00,16.155139055122316
2021-03-16 20:53:00,21.670045113134606
2021-03-16 20:54:00,9.186428734833216
2021-03-16 20:55:00,3.620892147895438
2021-03-16 20:56:00,18.995676718103052
2021-03-16 20:57:00,4.646736429673737
2021-03-16 20:58:00,3.892915908581592
2021-03-16 20:59:00,3.863888788620498
2021-03-16 21:00:00,24.327124842966477
2021-03-16 21:01:00,3.0582161757855104
2021-03-16 21:02:00,4.039726086479927
2021-03-16 21:03:00,20.347595157440953
2021-03-16 21:04:00,3.7095325212826893
2021-03-16 21:05:00,75.43574883998072
2021-03-16 21:06:00,17.27768045617085
2021-03-16 21:07:00,51.962993490019564
2021-03-16 21:08:00,36.08680498982465
2021-03-16 21:09:00,17.738312505373052
2021-03-16 21:10:00,23.92335985614437
2021-03-16 21:11:00,118.46407863877717
2021-03-16 21:12:00,116.44090369959005
2021-03-16 21:13:00,134.87937647775007
2021-03-16 21:14:00,141.32697924823808
2021-03-16 21:15:00,114.69130802890498
2021-03-16 21:16:00,187.18638564684466
2021-03-16 21:17:00,57.101984917289926
2021-03-16 21:18:00,3.580545119333689
2021-03-16 21:19:00,8.463921777784646
2021-03-16 21:20:00,1.8740723964704034
2021-03-16 21:21:00,3.046228575198264
2021-03-16 21:22:00,5.6803605535527675
2021-03-16 21:23:00,3.7195518368380927
2021-03-16 21:24:00,2.429566595891813
2021-03-16 21:25:00,14.95995602632772
2021-03-16 21:26:00,35.511746598135524
2021-03-16 21:27:00,3.9292780644453544
2021-03-16 21:28:00,17.91817354042509
2021-03-16 21:29:00,30.81247357970505
2021-03-16 21:30:00,31.979745303334987
2021-03-16 21:31:00,56.13207288758259
2021-03-16 21:32:00,38.60540721620928
2021-03-16 21:33:00,10.326638878958715
2021-03-16 21:34:00,3.9739240010755985
2021-03-16 21:35:00,5.013324947528765
2021-03-16 21:36:00,4.22128498921097
2021-03-16 21:37:00,22.938709632173893
2021-03-16 21:38:00,17.58478390903056
2021-03-16 21:39:00,3.6065059418160423
2021-03-16 21:40:00,3.4330351704440973
2021-03-16 21:41:00,2.7893461040409044
2021-03-16 21:42:00,2.548208193355585
2021-03-16 21:43:00,4.2483793808472825
2021-03-16 21:44:00,4.019472479813808
2021-03-16 21:45:00,3.554716337002373
2021-03-16 21:46:00,4.967543358443759
2021-03-16 21:47:00,7.575609758724494
2021-03-16 21:48:00,4.047155564965568
2021-03-16 21:49:00,8.240793048780937
2021-03-16 21:50:00,81.333544203694
2021-03-16 21:51:00,4.7969465589940965
2021-03-16 21:52:00,9.26130031830909
2021-03-16 21:53:00,3.4192925439843855
2021-03-16 21:54:00,7.799201400545632
2021-03-16 21:55:00,73.81819232769047
2021-03-16 21:56:00,3.790909776468227
2021-03-16 21:57:00,7.554233413648522
2021-03-16 21:58:00,2.43108808600371
2021-03-16 21:59:00,2.4395193294551767
2021-03-16 22:00:00,2.0859418998089225
2021-03-16 22:01:00,0.7495511088638435
2021-03-16 22:02:00,1.9541245432597423
2021-03-16 22:03:00,1.3673445611005068
2021-03-16 22:04:00,0.7976937122134979
2021-03-16 22:05:00,1.8150022450305558
2021-03-16 22:06:00,1.753594565228103
2021-03-16 22:07:00,1.4006030023248626
2021-03-16 22:08:00,1.5438036920023446
2021-03-16 22:09:00,1.8491538623524708
2021-03-16 22:10:00,2.3764547894210253
